dataID	context	indices_target_token	indices_target_sentence	lemma	group
6	We meet Leggeri in a Brussels café during the European elections. With the RN's third place on the list, his election is a formality. Marine Le Pen's party celebrated his appointment as a coup. After all, in their eyes, Leggeri is not only an intimate connoisseur of Brussels bureaucracy, having headed the EU's largest agency for seven years. He also presented himself as an expert in migration policy who - if left-wing NGOs had not constantly hindered his work - would have protected Europe's borders much better.	0:0	0:0		
7	Fabrice Leggeri, the son of an Italian immigrant, was born in Alsace in 1968. He had a successful school and civil service career in the capital: first in the French Ministry of the Interior, then for a time as an expert at the Commission in Brussels. Together with colleagues, he proposed to the Commission in 2002 that a European border guard be set up. Two years later, Frontex was founded, and after eleven years Leggeri was appointed its head.	0:0	0:0		
8	In an interview with DW, Chad Blewitt, the managing director of Rio Tinto's Jadar mine in northern Serbia, said they want to ''get out of the disinformation, all the false claims, and have a fact based dialogue.''	0:0	0:0		
9	@user @user CENA AJ sitting in a tree K-I-S-S-I-N-G 1st goes AJ's  job then John's cred then goes Vicki with the GM position.	0:0	0:0		
10	We have to invest in bringing a new capacity and if we do this in a place that is not China, then the monopoly that China has right now resolves by itself, he told DW. The Serbia example would be exactly what I would advocate for: Basically bringing new capacity in places that are not China that actually diversify refinement. And then if we do this in enough places, eventually market shares will go down and we only have to worry about price fluctuations.	0:0	0:0		
11	Gershkovich, his newspaper and the US government all reject the allegations. They say he was merely doing his job as a reporter accredited by Russia's Foreign Ministry to work in the country.	0:0	0:0		
12	Habeck is the first high-level European minister to visit China since the EU announced its tariff proposal. Brussels argues that Beijing's largesse with government subsidies gives Chinese carmakers an unfair advantage over European manufacturers.	0:0	0:0		
13	That sucks if you have to take the SATs tomorrow	0:0	0:0		
14	China has railed against the proposal, threatening a trade war as its automakers urge leadership in Beijing to level import taxes on European internal combustion vehicles.	0:0	0:0		
15	Fiorentina have reportedly opened talks with Chelsea over taking the 20yr old Kurt Zuoma on loan in January.	0:0	0:0		
16	This is a German government China strategy, so what is missing is the European approach, said Habeck, adding that sooner or later an update would be required, though without spelling out how the strategy would evolve.	0:0	0:0		
17	Falling seems to be a huge issue for the elderly, has anyone found a viable solution? Answer by Samantha Hunter, Clinical Senior: There are a few things that we can encourage everyone to do to help reduce their falls risk	0:0	0:0	Michael Kaiyatsa, executive director for the Centre for Human Rights and Rehabilitation, one of several organizations in Malawi that asked for an independent investigation into the crash, welcomes the move.	
18	Amy Schumer sat down with The Hollywood Reporter and opened up about the sexist remarks and unnecessary criticism she's faced since	0:0	0:0		
19	We need to know if they are from Germany, which company in Germany, and what is the track record that they have been doing similar jobs. For example, investigating such accidents, and for how long they have done that, and what are the reports they have,” Kaisi said.	0:0	0:0		
20	Kunkuyu said two of the investigators are from the German Federal Bureau of Aircraft Accident Investigation, and one is from General Atomics, a company that has taken over the manufacture of Dornier 228 aircraft.	0:0	0:0		
21	We are incredibly fortunate to have Erik join the PUMAFamily, and I am confident that his leadership will drive us towards our ambitious goals to elevate our DTC consumer experience to drive further brand heat,” said PUMA CEO Arne Freundt. “His innovative approach and passion for consumer-centric strategies will undoubtedly be an asset for our DTC business.	0:0	0:0		
22	Under her leadership, the University of Nottingham’s research focus has emphasised interdisciplinary collaboration, culture, and innovation to address global challenges, excelling in fields such as global food security, sustainable energy, and new developments in ultra-high field MRI scanning technologies. The university improved its placing in each of the three key measures determined by REF2021 and was ranked 7th in the UK for Research Power.	0:0	0:0		
23	Oscars Well makes his debut over fences at Punchestown tomorrow. It looks as though he\u2019ll have Plan A and Darwins Fox to overcome.	0:0	0:0		
24	Q2 10:30. Philip Rivers pass to Eddie Royal to the San Diego 19 for 7 yards. 3rd & 1.	0:0	0:0		
25	Professor West has been appointed following a global recruitment competition. The Council – the University’s governing body – approved the appointment following a unanimous recommendation from a panel chaired by the Chair of Council, Alastair Da Costa and consisting of members of Council, Senate, Leeds University Union, and the University Executive.	0:0	0:0		
26	The current Interim Vice-Chancellor and President Professor Hai-Sui Yu will continue in role until 31 October 2024, when he will revert to his substantive role as Provost and Deputy Vice-Chancellor and Provost having led the University for a year. In his interim role, Professor Yu has led a programme to improve the University’s approach and performance with a focus on excellence in research, student education, staff engagement, and strategic change.	0:0	0:0		
27	“Professor West has an innate understanding for how the highest quality research, innovation and student education can support a dynamic global outlook alongside an impactful contribution to our region and the communities that live within it. She also brings an astute perception of the ability of higher education to advance fairness and equality, within our own community and far beyond.	0:0	0:0		
30	Riggs accepted the position in January, and began sitting in remotely on some meetings, or in person if he was in Hastings, as he finished out his time as Dean of Graduate and Education Programs at Flagler College in St. Augustine, Florida, a position he held since 2019. He also served in several administrative and faculty leadership positions at Flagler, including Dean of Flagler-Tallahassee, inaugural Dean of the School of Humanities and Sciences and chair of the multi-disciplinary Humanities Department. He began his time at the school in 2007 as an associate professor of history.	0:0	0:0		
31	Looking forward to going to Carrow Rd tonight. Last time we were there\u002c Bale scored 2 and we were 3rd. Do not want extra time though	0:0	0:0		
32	Riggs accepted the position in January, and began sitting in remotely on some meetings, or in person if he was in Hastings, as he finished out his time as Dean of Graduate and Education Programs at Flagler College in St. Augustine, Florida, a position he held since 2019. He also served in several administrative and faculty leadership positions at Flagler, including Dean of Flagler-Tallahassee, inaugural Dean of the School of Humanities and Sciences and chair of the multi-disciplinary Humanities Department. He began his time at the school in 2007 as an associate professor of history.	0:0	0:0		
33	Throughout his career, Wayne has built dynamic educational programs while supporting students and leading in a way that builds trust among students, faculty and staff,” said Hastings College President Dr. Rich Lloyd. “He is a true believer in the power of education and the liberal arts, and the rewarding experiences that come with being involved in your community. We are thrilled he is here.	0:0	0:0		
34	MEPs asked Mr. Šefčovič how he would coordinate EU climate action and requested a commitment for the proposal by the Commission of a science-based EU climate target for 2040. They also probed Mr Šefčovič on how he would ensure the full and timely implementation of EU environmental laws in all EU countries, including the legislation adopted under the Green Deal, and asked for an overview of new measures and proposals the Commission is scheduling for release before the European elections.	0:0	0:0		
35	Based on the committee’s recommendations and the assessment by Parliament’s Conference of Committee Chairs, the Conference of Presidents will conduct the final evaluation and decide whether to close the hearing process and hold a plenary vote.	0:0	0:0		
36	This event provided an opportunity to reflect on MPE’s achievements and discuss the challenges and opportunities to position rigid metal packaging as the ideal partner for a sustainable future,” MPE CEO Krassimira Kazashka says. “The expertise and passion that Dr. Mandy Glew and JehanZeb Noor bring to MPE will be instrumental in achieving these goals	0:0	0:0		
37	While its news division captured praise for its reporting, Vice found itself ensnared in various business difficulties and executive changes, including the 2018 resignation of co-founder Shane Smith and the departure of his successor, chief executive Nancy Dubuc, earlier this year.	0:0	0:0		
38	Gucci pants himself store january lay open the span thine atomic irruptive concomitant so that cons comburent:...	0:0	0:0		
39	Vice Media joins a long list of digital publishers that have announced painful layoffs in recent months. Startup news outlet The Messenger shut down last month, Business Insider cut 8% of its staff and BuzzFeed said Wednesday that it will slash 16% of its workforce as it plans a new strategic direction.	0:0	0:0		
40	I may or may not buy myself the illustrated version of Harry potter for my birthday	0:0	0:0		
41	I wanna see STUDIO FOOTAGE SO BAD. We are about to hear some unreleased STUFF! Likeeeeeeeeee I can\u2019t wait until Sunday.	0:0	0:0		
42	@user how the hell does every one else get to keep their religious and 1st amnt rights, except Christians!!! This is just wrong!!!	0:0	0:0		
43	A @user rule change should allow Carly Fiorina to earn a spot on the main stage for the 2nd Republican debate.	0:0	0:0		
44	TFI Friday doesn't look like it's coming back, as Chris Evans focuses on new-look Top Gear	0:0	0:0		
45	"#np The Way You Make Me Feel - 2012 Remaster by Michael Jackson from the album Bad 25th Anniversary."	0:0	0:0		
46	I'm going to see Paper Towns. Saturday, 22 August 2015 at 17:40 in Leigh #Cineworld	0:0	0:0		
47	@user Yepo I came in Milan it was my 1st concert and it was so good you guys did an amazing job! You are flawless live like PERFECT!	0:0	0:0		
48	"#days #dool Tuesday Hope has to pick up Ciara. Rafe wants a real case not just publicity like Justin"	0:0	0:0		
49	Seth Rollins talks &amp; talks every Monday on RAW for about 45 minutes	0:0	0:0		
50	Thanks manager for putting me on the schedule for Sunday	0:0	0:0		
51	I'm sat at work just laughing at all these Hulk Hogan tweets. Hahha ffs	0:0	0:0		
52	@user #MLBCentral David Wright crushing a dinger on his first swing since April 14th. I didn't think he would pull a Wilmer Flores!	0:0	0:0		
53	I feel like the new Janet Jackson single is bringing back 90s R&amp;B. via @user	0:0	0:0		
54	Anyone want to see Sam smith with me on October 6th?	0:0	0:0		
55	This Friday OUTHOUSE is playing at Still Partners in Sea Cliff ! Hop on the Expressway to Nirvana!	0:0	0:0		
56	You can't shit talk Kpop. Every group is so in sync and vocally on point. It may not be your thing, but it's talent.	0:0	0:0		
57	I hope Milan mom say that she can come over on the 28th	0:0	0:0		
58	Sources familiar with the selection process told NBC News that Burgum and Vance are considered the top two finalists. Rubio is still being considered, though a constitutional hiccup would require that either Trump or Rubio establish residency outside of Florida.	0:0	0:0		
64	The Vice story is about a few things at once. It’s about the struggles of the digital advertising market for everyone other than Google, Meta, and Amazon. It’s about a shocking degree of ineptitude and grift from the people in charge, who lavished one another with enormous bonuses while the business they led was disintegrating last year. And it’s now also about a belief from executives that they can wring a useful business out of a media company’s name without doing anything to support a media company’s work. Vice’s website will become a glitzy store selling no new products, a ghost ship that still flies its old banner but doesn’t have anyone on deck. And when a media company stops producing media, it’s nothing but a bleak symbol of how its bosses see the world.	0:0	0:0		
65	What is a media company for when it stops publishing work? Historically, the question would not compute. A TV channel would go off the air, or a newspaper would stop showing up at your door, and that would be that. Vice will still just sit there. Most people don’t follow media news, so some decent number will still navigate to Vice for a time before they realize nothing new is happening. Google’s algorithm is a mystery, and perhaps Vice will continue to generate enough search traffic for a while that executives can keep taking nice bonuses for a job well done. The Wall Street Journal reported that Vice will emphasize its “business-to-business media arm, including its production studio and creative agency.” That sounds like the cessation of editorial activities and a pivot to making sponsored content that you see on YouTube every once in a while, but who knows? It does not sound anything like journalism, so while Vice the company may not be gone, Vice the news brand has surely gone to internet heaven.	0:0	0:0		
66	The same thing happened when a deep-pocketed media exec tried to recapture the old magic of Gawker, a once-great site that died in its old form after a vindictive Hulk Hogan lawsuit. The revival was intriguing, and the rebooted Gawker got a few good writers. But it did not work and never felt like the old thing. Now it’s gone, its archives living on a separate site, but the plague of companies trying to capitalize on media brands without developing the product that built those brands goes on. Sports Illustrated is currently on life support, its operator poised to lay off all or most of its remaining full-time staffers this spring, but its owner has nonetheless been trying to open Sports Illustrated–branded resorts in college towns.	0:0	0:0		
67	The sad thing is that this kind of tactic might make money. I doubt it makes a lot of money, because nowhere in the business genius handbook does it say that gradually degrading iconic brands is a way to create value in the long term. But media brands do build cultural cachet from the work their staffers produce, and I’m not sure that ordinary people are so attuned to their decline that they wouldn’t want to support the zombified versions that exist today. Deadspin’s traffic is not what it used to be, but it’s still something. It probably doesn’t matter to the algorithms that the site has not published work that caught my eye in years. Sports Illustrated’s leaders have taken a paragon of sports journalism and hit it repeatedly with a hammer, but why wouldn’t some sporty dad visiting campus for Parents Weekend at least think about staying in an SI-branded hotel? The tanking of these companies isn’t good business, but it might yield enough returns that the perpetrators feel smart.	0:0	0:0		
68	@user Last Wednesday, when I saw you dressed as Robin, all I can think about is Who's Batman? Where's the Teen Titans?	0:0	0:0		
69	That will be the hope of Fortress Investment Group, leader of the collection of investors who plucked Vice out of bankruptcy for $350 million last year. (In 2017, Vice achieved a $5.7 billion valuation in private markets and looked like it could become the biggest digital media business anywhere.) The domination of the ad market by tech behemoths means that Vice never had a chance to keep that valuation for long, but the company’s journalists still built a great brand. Now private equity is in charge, and the money does not believe in trying to rebuild Vice back into a thriving (if not quite $6 billion) media company under a name people care about. Instead it wants to bleed Vice’s name for whatever it’s worth. That might work out well for the investors’ cash flows, or it might not, but either outcome is totally disconnected from whether Vice creates interesting work for the rest of us. After all, making cool stuff was Vice’s work of yesterday. Its work of tomorrow is to sit there and hope enough potential clients forget what it was once good at.	0:0	0:0		
70	“This decision was not made lightly, and I understand the significant impact it will have on those affected,” Dixon told staffers in the memo obtained by CNN, adding that employees impacted will be notified early next week.	0:0	0:0		
71	@user @user at da end of da night no girl that roll with me is on da MTA! They are above that as long as I can afford that!	0:0	0:0		
72	@user SCOTUS based their argument on the 14th. No matter how you stretch it race was not involved.	0:0	0:0		
73	My mom's over here tryna tell me that we're taking the CAHSEE tomorrow ._. Nigga it's only the second month of school.. #SlowYourRoll	0:0	0:0		
74	Rahul Gandhi held Indian citizenship from day one: Congress: New Delhi, Nov 18: Dismissing BJP leader Subraman...	0:0	0:0		
75	I'm going to Paramore at Rock Im Park in Nuremburg, Germany - Jun 8	0:0	0:0		
76	Happy Birthday Nick J  May you live long and Happy :)	0:0	0:0		
77	ECHO: Sex offender is warned he may face jail over offences #Dorset	0:0	0:0		
78	I hope Bernie Sanders is a sun and the other two are shooting stars or black holes.	0:0	0:0		
79	Shows how much you can trust drivers answering these questions. Alonso was still saying on Monday that Ferrari split is just a rumor. #F1	0:0	0:0		
80	Who else is going to the Chris brown tour this Thursday #ChrisBrown#onehellofanighttour	0:0	0:0		
81	Your inspirational quotes on twitter/Feb never really got to me. But oh damn ur pics of them on IG have truly inspired me. #idiots	0:0	0:0		
82	Another beauty of a day in Athens\u002c Greece. I trust you\u2019ll have an exceptional Friday wherever in the world you are. Much love.	0:0	0:0		
83	Another great night in Split, off to Hvar on the 8:30 ferry tomorrow morning... dreading the packing but excited to get there!	0:0	0:0		
97	Googled the snake I stepped over on the trail Sunday. Baby timber rattler. So time to Google snake-proof hiking boots.	0:0	0:0		
98	@user Also, his anger against Hindus are justified but couldn't get why he was so anti Islam..may be he was just fed up of religions	0:0	0:0		
99	Ricky Ponting and I now have something in common. Today he passed 23\u002c000 1st class runs. Last night at training\u002c i was hit for 23\u002c000 runs.	0:0	0:0		
100	Ted Nugent talks to us about #hunting and other stuff he\u2019s got on his mind @user this Saturday at 7am on the Great Outdoors\u002c #nuge	0:0	0:0		
101	Check out Newsha Tavakolian at the Saatchi Gallery in London. Her photos of Iran may interest some of you!	0:0	0:0		
102	Mansbridge destroyed Justin tonite the polls for the lib's should tank tomorrow! Wake up people he is NOT ready!!	0:0	0:0		
103	For the ones tomorrow sunday in Milan (Italy): Aperitif and evening at Fiat Open Lounge:	0:0	0:0		
104	J'regarde des infos sur Ragnarok (le film) &amp;bon: Thor will make it out of the third movie[..]Loki, on the other hand may not be so Lucky.	0:0	0:0		
105	@user Donald trump said the same thing about the tax rate.  Fact check said he was a liar pant of fire	0:0	0:0		
106	If you\u2019re calling this little thing right here a \party\ then Friday night\u2019s gonna be Project X\u002c Y\u002c & Z.	0:0	0:0		
107	Love this vid!! 1st time I\u2019ve seen it!--- jules explains it all - David Archuleta sings \Nandito Ako.\ via @user	0:0	0:0		
108	@user @user Not just Christians, you are in the prayers of all of us humans.May you stay safe and be free soon!God bless.	0:0	0:0		
109	Happy birthday @user ! National Bieber Day . Now he\u2019s 18th years\u002c but he\u2019s #stillkidrauhl #IndonesiaSaysHBDforJustinBieber	0:0	0:0		
110	If you put one over the plate he's gonna fuck you up  Called it, Kris Bryant with his 21st	0:0	0:0		
111	Good luck to Girls Tennis as the take on South Torrance today on 1st round CIF! #GoLions2012	0:0	0:0		
112	\Hey\u002c you\u2019re missing Beauty and the Beast\u002c Vampire Diaries & Grey\u2019s Anatomy right now on TV. Saturday is Merlin\- @user #sisterlife	0:0	0:0		
113	Decided to watch Rick and Morty will probably watch Naruto tomorrow such a good movie hits ya right in the feels	0:0	0:0		
114	first Hasek now Modano want to come back...who's next Mario Lemieux for the 4th time!	0:0	0:0		
115	@user isn\u2019t it just!  staying in and watching the lovely James Martin on Saturday kitchen. Great pumpkin soup recipe to warm u up	0:0	0:0		
116	@user how was your day today? Did you enjoy watching softball. We missed you on tiger woods	0:0	0:0		
117	And to think I wrote this Dustin Johnson Tweet after the second round of the British Open	0:0	0:0		
118	Just Turned the corner into Ghetto n #Roma 1st thing I saw a group of Muslims! Now that's tourism for ya. It's a sm world after all #peace	0:0	0:0		
119	Be sure to look for Nash's new video with Skylynn tomorrow #NashNewVideo love you @user	0:0	0:0		
120	Who wants to be my date to the White Sox vs Red Sox game Tuesday	0:0	0:0		
121	At long last, Lexus has developed a hoverboard, the 'Slide,' to be tested in public for the first time on Wed.	0:0	0:0		
122	I noticed all the Huddlestone haters were conspicuous by their absence yesterday\u002c particularly when he assisted Bale for the 1st goal #THFC	0:0	0:0		
123	Unexpected development-- saw Ant-Man on Saturday night in London. It was surprisingly charming. I actually quite enjoyed it.	0:0	0:0		
124	Tomorrow is Star Wars day! New movie! And is @user and @user birthday! Great, isn't? @user	0:0	0:0		
125	Sun is shining... Bob Marley on the radio... hiya Monday!	0:0	0:0		
126	Hope, Love &amp; Laughter; Warmth, Prosperity &amp; Joy; A fragrant bouquet filled with life; You may Enjoy! A very happy Eid -	0:0	0:0		
127	'Frank Ocean' appeared on Sunday 16 at the 11th place in the Top20 of Dallas-Ft. Worth's Trends: #trndnl	0:0	0:0		
128	Also may take years to figure out if the song reaching #1 or John Cena co-opting I Can't Feel My Face as his signature tagline is stranger	0:0	0:0		
129	Yakub death may be unfortunate bt we shud respect SC's decision n not vitiate atmosphere in the name of religion #YakubToHang #YakubVerdict	0:0	0:0		
130	Its the 1st video without zayn and its still perf #DragMeDownMusicVideo	0:0	0:0		
131	Has anyone ever seen @user and Iron Maiden's Bruce Dickinson together in the same room?	0:0	0:0		
132	Why does everyone want to give Eli Manning credit for every win. The truth is Sunday\u2019s game should have been a blowout.	0:0	0:0		
133	The pics were taken on a 2004 Nokia, and it's really blurry and may induce cataracts. Just a heads up.	0:0	0:0		
134	I think this was the first night of Louis with Briana? (That's not her tho) I saved it on April 17 but I DK	0:0	0:0		
135	On Monday im going to eat so much you might as well call me Jordan and Ally. Im so fucking hungry.	0:0	0:0		
136	Be prepared to listen about Nicki and Miley tomorrow at school, or maybe Kanye	0:0	0:0		
137	@user I just wonder how peter is the 1st pope when the Romans crucified him 200 years before Christianity was legalized in Rome	0:0	0:0		
138	Sky : Melo and Perisic are set to debut in the Inter shirt against Milan in next Sunday's derby. Icardi is also probable.	0:0	0:0		
139	@user You really want to go there? He had a gr8 Milan team from 03 to 06. He finished 1st, 2nd and 2nd to a team that was relegated 4..	0:0	0:0		
140	Christianity is nothing else but the imitation of God\u2019s nature.  We seek a relationship with God through Jesus ...\Lord that I may see\.	0:0	0:0		
141	Wrap-up: Broncos 34, Saints 14:  Thoughts on the New Orleans Saints' 34-14 loss to the Denver Broncos on Sunday ...	0:0	0:0		
142	@user big ups SL!!! Copped the 10.5 Gucci's missed out Friday!!!	0:0	0:0		
143	Officially going to the Kenny Chesney, Jason Aldean, Brantley Gilbert, and Cole Swindal concert on Saturday!! Excited beyond words!!	0:0	0:0		
144	Join @user now for boosted 4/1 Arsenal &amp; Chelsea both to win in the #BPL tomorrow. #AFC #CFC	0:0	0:0		
145	Snoop Dogg is playing at the State Fair on Wednesday and I wANnA GO sOooOoO BAd	0:0	0:0		
146	@user Hi, I have a sneaking suspicion Barack Obama and Sarah Palin may be part of the DKEU. Can you find out, please?	0:0	0:0		
147	2nd half about to start. No subs for the Red Stars to begin the half. WNY kicking off. 45 to go....	0:0	0:0		
148	Six good reviews for the new Deus Ex. I'm going to pre-order it today, I've seen enough coverage to know it's going to be worth a look.	0:0	0:0		
149	Bob Marley playing in the lab. Happy Saturday!!	0:0	0:0		
150	October day 1 was good :-)  Goodnight taking the CAHSEE tomorrow . Hope i pass :)	0:0	0:0		
151	@user yea I was just thinking that! Btw Reece is going to be in Kyle and Jackie O tomorrow I think.... In the studio	0:0	0:0		
152	Our paper needs to be turned into blackboard and Google by midnight on friday it needs to be less than 17 % on blackboard!!! #aumrsch	0:0	0:0		
153	On the bright side tomorrow\u2019s CHOCOLATE DAY #getexcited	0:0	0:0		
154	Imagine if this was clashing with tomorrow's Celebrity Big Brother launch though. I'd be so torn.	0:0	0:0		
155	Off to ER, for the Edinburgh Derby, c'mon the Hibs	0:0	0:0		
156	The verse of Kendrick Lamar on Black Friday.. Listen to that shit with a notebook	0:0	0:0		
157	Randy Orton is going to be in Lawton tomorrow	0:0	0:0		
158	Oomf is gay. He may not know it yet, but I do lol	0:0	0:0		
159	Delhi police says report about Sunanda Pushkar's death inconclusive: Delhi Police said Friday the forensic evi...	0:0	0:0		
160	Overall...tonight reconfirmed my love for nicki and why I never went back to side bangs after 7th grade	0:0	0:0		
161	Harper Lee's Go Set a Watchman comes out tomorrow, I just want to call into work so I can read it all day.	0:0	0:0		
162	@user @user Is Wednesday normally Cascades help day? I might want to make a trip at some point before January 21st.	0:0	0:0		
163	You just got to love Prince George Happy 2nd Birthday !! #princegeorge	0:0	0:0		
164	Yes it is. Bori practitioners have survived by not attempting to abandon Islam. So they blend in easily.	0:0	0:0		
165	AirAsia aborts deal to buy Indonesia's Batavia Air - Southeast Asia's top budget carrier AirAsia said Monday it has ...	0:0	0:0		
166	Happy Birthday George, you cutie. Royals celebrate Prince George's 2nd birthday via @user	0:0	0:0		
167	Frank Gifford, dies at 84 - The Washington Post. I worked with Frank way back at Wide World of Sports. Class Act. RIP	0:0	0:0		
168	Floyd Mayweather is heavy favourite to go 49-0 on the 12th. Bet on the fight here - #Boxing	0:0	0:0		
169	@user @user I'm watching the red carpet for Nicki mostly. They're gonna air the show tomorrow night so I might go to bed after	0:0	0:0		
170	Sumlin says he put Kyler Murray in for Kyle Allen during 1st half as a change of pace quarterback. That pace: Fast. Murray has some wheels	0:0	0:0		
171	My Friday: closet clean out\u002c furniture rearranging\u002c Al Green while taking a bath wrapping it all up with Downton Abbey. #lizlemon	0:0	0:0		
172	Happy birthday, Hank Williams. In honor if the Hank turning 88, we'll play 88 Hank songs in a row tonite @user #honkytonk	0:0	0:0		
173	Which is more interesting unveil tomorrow? $AAPL 6s, Ipad, TV or $TM new Prius? I'm going with Prius.	0:0	0:0		
174	Sitting 14th row for AC/DC tonight!! Let's go!	0:0	0:0		
175	Go Set a Watchman comes out tomorrow! Do you plan to read it?   I have to reread TKAM first, but then I definitely...	0:0	0:0		
176	"#RAW Aaaaaand Randy Orton becomes the 3rd person ever to pin Rusev. Whoever's booking Rusev should step down or resign."	0:0	0:0		
177	Something may be slightly amiss in the NFL when Tim Tebow &amp; Devon Still are cut &amp; Tom Brady is allowed to play.	0:0	0:0		
178	Shawn comes to Vegas the 18th or 19th &amp; I will go to the airport to meet him	0:0	0:0		
179	@user I thought it was the football team at 1st until I scrolled down and saw Trey Burke. Lol	0:0	0:0		
180	Muslims will assist Muslims into high positions in the UK.....I think we may be fucked guys.....	0:0	0:0		
181	@user Mate\u002c how are you lads enjoying Andy Carroll over there? Can we have him back in January? We\u2019re a bit desperate!	0:0	0:0		
182	A future Big Brother might be able to see you in the dark ..	0:0	0:0		
183	I\u2019m going to Roger Sanchez at Factory in Toronto\u002c Canada - Dec 7	0:0	0:0		
184	During nap time I will: watch the end of Hart of Dixie\u002c set up Activity Corner for tomorrow\u002c & study more genetics stuff. #hotdiggitydog	0:0	0:0		
185	@user @user @user I get it. You're like the caster version of Chuck Norris. You're just waiting for @user Championship Sunday	0:0	0:0		
186	My little brother comes home with nike elite socks and jordans, when i was in 6th grade i got wilson socks and clearance shoes from Olympia	0:0	0:0		
187	Rousey to fight former boxer - Mixed martial arts star Ronda Rousey said Friday she will face female boxer Holly H...	0:0	0:0		
188	Tomorrow at work, when people talk to me, I'm just going to slap my crotch and twerk in response. See if I get the same reaction Nicki did.	0:0	0:0		
189	@user   Maby cuz u are sooo good at bowling and they are now scared from u :p  They got sick from u taking the 1st place everytime	0:0	0:0		
